url,prediction,label,confidence,threat_level,risk_score,features
https://www.google.com,0,Legitimate,0.0,Low,0,"{'url_length': 22, 'num_dots': 2, 'num_hyphens': 0, 'num_slashes': 2, 'has_ip': 0, 'is_https': 1, 'suspicious_keywords': 0, 'is_shortening': 0}"
https://www.amazon.com/products,0,Legitimate,0.0,Low,0,"{'url_length': 31, 'num_dots': 2, 'num_hyphens': 0, 'num_slashes': 3, 'has_ip': 0, 'is_https': 1, 'suspicious_keywords': 0, 'is_shortening': 0}"
http://paypal-security.com/login,1,Suspicious,0.5,Medium,5,"{'url_length': 32, 'num_dots': 1, 'num_hyphens': 1, 'num_slashes': 3, 'has_ip': 0, 'is_https': 0, 'suspicious_keywords': 2, 'is_shortening': 0}"
https://microsoft-security.org/update,1,Suspicious,0.4,Medium,4,"{'url_length': 37, 'num_dots': 1, 'num_hyphens': 1, 'num_slashes': 3, 'has_ip': 0, 'is_https': 1, 'suspicious_keywords': 2, 'is_shortening': 0}"
http://192.168.1.100/login,1,Suspicious,0.6,Medium,6,"{'url_length': 26, 'num_dots': 3, 'num_hyphens': 0, 'num_slashes': 3, 'has_ip': 1, 'is_https': 0, 'suspicious_keywords': 1, 'is_shortening': 0}"
https://bit.ly/fake-bank,0,Legitimate,0.2,Low,2,"{'url_length': 24, 'num_dots': 1, 'num_hyphens': 1, 'num_slashes': 3, 'has_ip': 0, 'is_https': 1, 'suspicious_keywords': 0, 'is_shortening': 1}"
https://secure-banking.tk/urgent-update,1,Phishing,0.8,High,8,"{'url_length': 39, 'num_dots': 1, 'num_hyphens': 2, 'num_slashes': 3, 'has_ip': 0, 'is_https': 1, 'suspicious_keywords': 4, 'is_shortening': 0}"
https://apple-id-locked.com/unlock?verify=now,0,Legitimate,0.2,Low,2,"{'url_length': 45, 'num_dots': 1, 'num_hyphens': 2, 'num_slashes': 3, 'has_ip': 0, 'is_https': 1, 'suspicious_keywords': 1, 'is_shortening': 0}"
https://github.com/user/repo,0,Legitimate,0.0,Low,0,"{'url_length': 28, 'num_dots': 1, 'num_hyphens': 0, 'num_slashes': 4, 'has_ip': 0, 'is_https': 1, 'suspicious_keywords': 0, 'is_shortening': 0}"
http://phishing-example.com/fake-bank-login,1,Suspicious,0.3,Medium,3,"{'url_length': 43, 'num_dots': 1, 'num_hyphens': 3, 'num_slashes': 3, 'has_ip': 0, 'is_https': 0, 'suspicious_keywords': 1, 'is_shortening': 0}"
